occ_year,occ_month,difference,location,bicycle_status
2014,1,0,Apartment,STOLEN
2014,1,0,House,RECOVERED
2014,1,1,Apartment,STOLEN
2014,1,0,Apartment,STOLEN
2014,1,1,Other,STOLEN
2014,1,1,House,STOLEN
2014,1,1,House,UNKNOWN
2014,1,1,Other,STOLEN
2014,1,3,Commercial,STOLEN
2014,1,0,Apartment,STOLEN
2014,1,0,Outside,STOLEN
2014,1,0,Outside,STOLEN
2014,1,0,House,STOLEN
2014,1,0,House,STOLEN
2014,1,2,Apartment,STOLEN
2014,1,5,Apartment,STOLEN
2014,1,0,Other,STOLEN
2014,1,0,Educational,STOLEN
2014,1,0,Commercial,STOLEN
2014,1,0,Outside,STOLEN
2014,1,4,Apartment,STOLEN
2014,1,0,House,STOLEN
2014,1,0,House,STOLEN
2014,1,10,Other,STOLEN
2014,1,4,Outside,STOLEN
2014,1,12,House,STOLEN
2014,1,0,Commercial,UNKNOWN
2014,1,19,Outside,STOLEN
2014,1,1,Commercial,STOLEN
2014,1,1,Outside,STOLEN
2014,1,0,Outside,STOLEN
2014,1,1,Outside,STOLEN
2014,1,0,Apartment,STOLEN
2014,1,1,Commercial,STOLEN
2014,1,1,Commercial,STOLEN
2014,1,1,Transit,STOLEN
2014,2,1,Outside,STOLEN
2014,2,0,Apartment,UNKNOWN
2014,1,8,House,STOLEN
2014,2,1,Other,STOLEN
2014,2,1,Apartment,STOLEN
2014,1,5,Other,STOLEN
2014,2,1,Outside,STOLEN
2014,2,0,Outside,STOLEN
2014,1,14,Commercial,STOLEN
2014,2,2,Commercial,STOLEN
2014,2,2,Commercial,STOLEN
2014,1,41,Apartment,STOLEN
2014,2,0,Commercial,STOLEN
2014,2,0,Outside,STOLEN
2014,2,0,Outside,STOLEN
2014,2,0,House,STOLEN
2014,2,1,Outside,STOLEN
2014,2,1,Outside,STOLEN
2014,1,33,Other,STOLEN
2014,2,3,Outside,STOLEN
2014,1,31,Outside,STOLEN
2014,2,0,Commercial,STOLEN
2014,2,1,House,STOLEN
2014,2,1,House,STOLEN
2014,2,0,House,STOLEN
2014,1,37,Apartment,STOLEN
2014,2,0,Outside,STOLEN
2014,2,1,Outside,STOLEN
2014,2,6,Other,STOLEN
2014,2,6,Other,STOLEN
2014,2,6,Other,STOLEN
2014,3,0,Other,STOLEN
2014,3,0,Commercial,STOLEN
2014,3,1,Outside,STOLEN
2014,3,1,Outside,STOLEN
2014,3,1,Apartment,STOLEN
2014,3,1,Outside,STOLEN
2014,3,0,Outside,STOLEN
2014,3,2,Outside,STOLEN
2014,3,0,House,STOLEN
2014,3,0,Other,STOLEN
2014,3,0,Outside,STOLEN
2014,3,1,Outside,STOLEN
2014,2,14,House,STOLEN
2014,3,3,Outside,STOLEN
2014,3,0,Apartment,STOLEN
2014,3,2,Outside,STOLEN
2014,3,1,Other,STOLEN
2014,3,1,Other,STOLEN
2014,1,56,Transit,STOLEN
2014,3,2,Commercial,STOLEN
2014,3,5,Outside,STOLEN
2014,3,2,Commercial,STOLEN
2014,3,1,Other,STOLEN
2014,3,0,Outside,STOLEN
2014,3,0,Apartment,STOLEN
2014,3,2,House,STOLEN
2014,3,0,Educational,STOLEN
2014,3,0,Outside,STOLEN
2014,3,10,House,STOLEN
2014,3,2,House,STOLEN
2014,3,7,Outside,STOLEN
2014,3,2,House,STOLEN
2014,3,2,Outside,STOLEN
2014,3,1,Other,STOLEN
2014,3,0,Outside,STOLEN
2014,3,0,Outside,STOLEN
2014,3,1,House,STOLEN
2014,3,0,Other,STOLEN
2014,1,74,Commercial,STOLEN
2014,3,6,Outside,UNKNOWN
2014,3,0,Outside,STOLEN
2014,3,0,Commercial,STOLEN
2014,3,0,Outside,STOLEN
2014,3,0,Outside,STOLEN
2014,3,0,Outside,STOLEN
2014,3,11,House,STOLEN
2014,3,5,Outside,STOLEN
2014,3,0,Outside,STOLEN
2014,3,0,House,STOLEN
